"specie";"indiv";"stage";"comp";"lettre_bulk";"ind_bulk";"col_specie";"col_stage";"col_comp";"type";"comp2";"pch_comp";"pch_specie";"col_type";"pch_type";"spe_comp";"comp_stage";"pch_stage";"spe_stage";"spe_ind";"time";"col_spe_stage"
"Pa_NA_S1_Bulk_A_1";"Pa";"NA";"S1";"Bulk";"A";"1";"orange";"green";"orange";"domesticated";"Bulk";"8";"15";"red";"19";"Pa_Bulk";"Bulk_S1";"17";"Pa_S1";"Pa_NA";NA;"orange"
"Pa_NA_S2_Bulk_A";"Pa";"NA";"S2";"Bulk";"A";NA;"orange";"blue";"orange";"domesticated";"Bulk";"8";"15";"red";"19";"Pa_Bulk";"Bulk_S2";"18";"Pa_S2";"Pa_NA";NA;"orange"
"Pa_NA_S3_Bulk_A";"Pa";"NA";"S3";"Bulk";"A";NA;"orange";"red";"orange";"domesticated";"Bulk";"8";"15";"red";"19";"Pa_Bulk";"Bulk_S3";"19";"Pa_S3";"Pa_NA";NA;"orange"
"Pa_NA_S0_Bulk_B";"Pa";"NA";"S0";"Bulk";"B";NA;"orange";"black";"orange";"domesticated";"Bulk";"8";"15";"red";"19";"Pa_Bulk";"Bulk_S0";"15";"Pa_S0";"Pa_NA";NA;NA
"Pa_NA_S2_Bulk_B";"Pa";"NA";"S2";"Bulk";"B";NA;"orange";"blue";"orange";"domesticated";"Bulk";"8";"15";"red";"19";"Pa_Bulk";"Bulk_S2";"18";"Pa_S2";"Pa_NA";NA;"orange"
"Pa_NA_S3_Bulk_B_1";"Pa";"NA";"S3";"Bulk";"B";"1";"orange";"red";"orange";"domesticated";"Bulk";"8";"15";"red";"19";"Pa_Bulk";"Bulk_S3";"19";"Pa_S3";"Pa_NA";NA;"orange"
"Pa_NA_S1_Bulk_A_2";"Pa";"NA";"S1";"Bulk";"A";"2";"orange";"green";"orange";"domesticated";"Bulk";"8";"15";"red";"19";"Pa_Bulk";"Bulk_S1";"17";"Pa_S1";"Pa_NA";NA;"orange"
"Pa_NA_S0_Bulk_A_2";"Pa";"NA";"S0";"Bulk";"A";"2";"orange";"black";"orange";"domesticated";"Bulk";"8";"15";"red";"19";"Pa_Bulk";"Bulk_S0";"15";"Pa_S0";"Pa_NA";NA;NA
"Pe_13_S1_E";"Pe";"13";"S1";"E";NA;NA;"salmon";"green";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S1";"17";"Pe_S1";"Pe_13";20;"salmon"
"Pe_13_S1_R_2";"Pe";"13";"S1";"R";"2";NA;"salmon";"green";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S1";"17";"Pe_S1";"Pe_13";20;"salmon"
"Pe_13_S1_Rp";"Pe";"13";"S1";"Rp";NA;NA;"salmon";"green";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S1";"17";"Pe_S1";"Pe_13";20;"salmon"
"Pe_16_S2_R";"Pe";"16";"S2";"R";NA;NA;"salmon";"blue";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S2";"18";"Pe_S2";"Pe_16";56;"salmon"
"Pe_16_S2_Rp";"Pe";"16";"S2";"Rp";NA;NA;"salmon";"blue";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S2";"18";"Pe_S2";"Pe_16";56;"salmon"
"Pe_19_S1_E";"Pe";"19";"S1";"E";NA;NA;"salmon";"green";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S1";"17";"Pe_S1";"Pe_19";20;"salmon"
"Pe_19_S1_R";"Pe";"19";"S1";"R";NA;NA;"salmon";"green";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S1";"17";"Pe_S1";"Pe_19";20;"salmon"
"Pe_19_S1_Rp";"Pe";"19";"S1";"Rp";NA;NA;"salmon";"green";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S1";"17";"Pe_S1";"Pe_19";20;"salmon"
